Id,Label,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
1,Gerard Gumbau,17,16.647141,2,0.814815,0.886364,5.332557,0.256062,0.256063,0.050838,1,6,0.794118,108,0.946235
2,Carlos Clerc,19,18.56831,2,0.88,0.931818,18.266175,0.261462,0.261462,0.057396,0,0,0.660819,113,0.973979
3,Lucas Boyé,10,9.777536,3,0.578947,0.69697,0,0.157862,0.157862,0.032199,1,4,1,45,0.578455
4,Omar Mascarell,14,13.676365,2,0.733333,0.818182,4.907969,0.192654,0.192654,0.044325,0,1,0.747253,68,0.722471
5,Pedro Bigas,11,10.809025,2,0.666667,0.75,3.076038,0.133091,0.133091,0.037341,0,1,0.818182,45,0.505129
6,Tete Morente,14,13.661275,3,0.709677,0.810606,0.703773,0.221305,0.221305,0.042612,1,2,0.945055,86,0.813862
7,Helibelton Palacios,15,14.70515,2,0.758621,0.840909,11.498613,0.196057,0.196057,0.047709,0,1,0.695238,73,0.736678
8,Pere Milla,16,15.695077,2,0.785714,0.863636,3.235842,0.245695,0.245695,0.048045,1,7,0.841667,101,0.906429
9,Fidel,16,15.730933,2,0.785714,0.863636,3.235842,0.245695,0.245695,0.048045,1,4,0.841667,101,0.906429
10,Enzo Roco,10,9.844711,3,0.628571,0.719697,1.776942,0.116501,0.1165,0.034737,0,1,0.866667,39,0.443847
11,John Donald,13,12.74136,2,0.709677,0.795455,6.488516,0.165225,0.165225,0.042529,0,1,0.74359,58,0.623455
12,Raúl Guti,18,17.608643,2,0.846154,0.909091,9.014986,0.264413,0.264413,0.05373,1,2,0.745098,114,0.978732
13,Lisandro Magallán,8,7.853043,3,0.578947,0.666667,0.533333,0.082727,0.082727,0.029467,0,1,0.928571,26,0.318247
14,Randy Nteka,13,12.686373,3,0.666667,0.780303,0.393023,0.2049,0.2049,0.040015,1,4,0.961538,75,0.752541
15,Josan,19,18.566278,2,0.88,0.931818,13.102961,0.269128,0.269128,0.056898,1,5,0.690058,118,1
16,Lautaro Blanco,13,12.646688,3,0.6875,0.787879,0.109649,0.2114,0.2114,0.039858,1,7,0.987179,77,0.777715
17,Gonzalo Verdú,10,9.817567,3,0.628571,0.719697,1.776942,0.116501,0.1165,0.034737,0,1,0.866667,39,0.443847
18,Ezequiel Ponce,14,13.68531,3,0.709677,0.810606,0.703773,0.221305,0.221305,0.042612,1,3,0.945055,86,0.813862
19,Diego González,6,5.905762,3,0.488889,0.583333,0,0.054234,0.054233,0.023945,0,1,1,15,0.211157
20,Álex Collado,14,13.75234,3,0.709677,0.810606,0.703773,0.221305,0.221305,0.042612,1,0,0.945055,86,0.813862
21,Roger Martí,14,13.754892,3,0.709677,0.810606,0.703773,0.221305,0.221305,0.042612,1,6,0.945055,86,0.813862
22,Carmona,17,16.546421,2,0.814815,0.886364,5.332557,0.256062,0.256063,0.050838,1,3,0.794118,108,0.946235
23,Pol Lirola,19,18.560814,2,0.88,0.931818,13.102961,0.269128,0.269128,0.056898,0,5,0.690058,118,1
